State,different_from_oregon_flag,metric_nodata_flag,metric,variable,category,category_reporting_flag,category_reporting_note
IA,FALSE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
IA,FALSE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Black or African American,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Asian,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Two or more races,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,White,FALSE,NA
IA,FALSE,FALSE,Deaths,Race,Some other race,FALSE,NA
IA,FALSE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
IA,FALSE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
ID,FALSE,FALSE,Cases,Race,Black or African American,FALSE,NA
